web-scraper-order,web-scraper-start-url,Date,Open,Close
1620704379-307,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2018",79.93,84.71
1620704379-326,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2017",62.16,57.92
1620704379-376,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2013",16.09,17.41
1620704379-263,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2021",34.35,42.83
1620704379-282,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2019",87.04,72.88
1620704379-340,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2016",41.97,46
1620704379-444,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2007",34.91,36.05
1620704379-397,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2011",24.7,21.9
1620704379-448,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2007",30.63,29.51
1620704379-384,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2012",22.5,23.83
1620704379-356,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2014",38.19,39.34
1620704379-342,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2015",52.55,50.07
1620704379-338,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2016",43.53,47.15
1620704379-318,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2017",74.57,77.72
1620704379-436,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2008",27.79,27.02
1620704379-316,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2017",78.25,80.1
1620704379-380,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2012",22.28,15.63
1620704379-437,https://finance.yahoo.com/quote/SPR/history?period1=1167350400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2008",34.33,27.62
