web-scraper-order,web-scraper-start-url,Date,Open,Close
"1620704750-588","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2009","26.57","28.74"
"1620704750-493","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2017","54.11","51.16"
"1620704750-571","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2011","35.00","28.65"
"1620704750-482","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2018","88.98","112.17"
"1620704750-574","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2011","27.14","28.20"
"1620704750-555","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2012","23.43","23.86"
"1620704750-531","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2014","31.41","31.54"
"1620704750-557","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2012","22.02","26.31"
"1620704750-458","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","76.01","60.01"
"1620704750-618","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2007","21.40","20.76"
"1620704750-454","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","87.20","114.77"
"1620704750-595","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2009","20.90","23.66"
"1620704750-460","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","79.49","76.55"
"1620704750-546","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2013","19.32","20.07"
"1620704750-490","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2018","56.40","51.36"
"1620704750-471","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2019","54.85","51.53"
"1620704750-614","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2007","19.42","23.01"
"1620704750-609","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2008","23.15","21.24"
"1620704750-577","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2010","22.33","23.46"
"1620704750-502","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2017","27.13","26.19"
"1620704750-563","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2011","30.37","31.47"
"1620704750-540","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2013","27.17","30.17"
"1620704750-610","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2008","24.72","23.01"
"1620704750-598","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2009","37.33","37.06"
"1620704750-518","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2015","23.70","20.04"
"1620704750-488","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2018","49.67","45.51"
"1620704750-617","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2007","21.00","20.61"
"1620704750-512","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2016","25.20","28.32"
"1620704750-525","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2015","25.52","27.41"
"1620704750-509","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2016","28.91","27.80"
"1620704750-592","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2009","31.50","28.44"
"1620704750-619","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2007","22.77","21.40"
"1620704750-519","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2015","26.10","24.05"
"1620704750-497","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2017","31.12","38.20"
"1620704750-452","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2021","112.96","116.06"
"1620704750-511","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2016","28.16","28.88"
"1620704750-498","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2017","28.63","31.04"
"1620704750-542","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2013","22.05","23.10"
"1620704750-475","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2019","68.72","68.56"
"1620704750-507","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2016","28.44","24.74"
"1620704750-578","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2010","22.93","22.25"
"1620704750-466","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","62.15","66.61"
"1620704750-516","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2015","23.03","25.58"
"1620704750-603","https://finance.yahoo.com/quote/AVAV/history?period1=1169596800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2008","32.91","33.46"
