web-scraper-order,web-scraper-start-url,Date,Open,Close
1620702305-162,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2009",12.1,13.7
1620702305-86,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2014",49.76,47.6
1620702305-25,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2019",113.7,124.68
1620702305-204,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2005",28.98,31.43
1620702305-211,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2005",21.86,24.03
1620702305-21,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2019",120,128.42
1620702305-249,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2002",16.96,15.57
1620702305-107,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2013",39.24,39.7
1620702305-206,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2005",27.5,29.5
1620702305-79,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2015",62,62
1620702305-68,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2016",59.67,58.35
1620702305-32,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2018",97.27,83.96
1620702305-17,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2020",133.64,108.1
1620702305-200,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2006",30.75,34.77
1620702305-181,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2007",21.98,21.78
1620702305-3,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2021",97.75,96.54
1620702305-51,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2017",73.22,72
1620702305-231,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2003",17.37,18.2
1620702305-225,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2004",20.8,20.35
1620702305-97,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2013",52.33,55.81
1620702305-173,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2008",14.67,16.15
1620702305-98,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2013",50.51,52.26
1620702305-59,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2016",54.45,60.27
1620702305-93,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2014",52.41,49.49
1620702305-55,https://finance.yahoo.com/quote/AIR.PA/history?period1=999561600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2017",69.69,71.33
