web-scraper-order,web-scraper-start-url,Date,Open,Close
"1620644304-3240","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2005","34.63","32.36"
"1620644304-3254","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2004","50.65","43.01"
"1620644304-3225","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2006","38.52","26.89"
"1620644304-3125","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2014","306.24","338.64"
"1620644304-3299","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2000","56.00","48.31"
"1620644304-3311","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 1999","55.75","62.56"
"1620644304-3073","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2019","1,655.13","1,780.75"
"1620644304-3092","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2017","996.11","980.60"
"1620644304-3206","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2008","79.02","64.47"
"1620644304-3173","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2010","164.45","175.40"
"1620644304-3069","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2019","1,922.98","1,866.78"
"1620644304-3122","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2015","350.05","380.16"
"1620644304-3146","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2013","268.93","264.27"
"1620644304-3303","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2000","81.50","64.56"
"1620644304-3131","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2014","304.13","312.55"
"1620644304-3116","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2015","537.45","512.89"
"1620644304-3126","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2014","322.04","305.46"
"1620644304-3123","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2015","312.58","354.53"
"1620644304-3134","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2014","358.98","362.10"
"1620644304-3326","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 1998","7.73","7.34"
"1620644304-3174","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2010","157.08","165.23"
"1620644304-3107","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2016","663.92","722.79"
"1620644304-3318","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 1998","30.92","53.54"
"1620644304-3075","https://finance.yahoo.com/quote/AMZN/history?period1=863740800&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2019","1,465.20","1,718.73"
