web-scraper-order,web-scraper-start-url,Date,Open,Close
"1620706911-2507","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2011","11.12","7.08"
"1620706911-2460","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2015","5.81","5.69"
"1620706911-2494","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2012","2.00","1.83"
"1620706911-2419","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2018","7.82","7.40"
"1620706911-2431","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2017","3.18","2.64"
"1620706911-2481","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2013","5.50","4.11"
"1620706911-2511","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2011","14.41","12.30"
"1620706911-2476","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2014","6.58","5.35"
"1620706911-2400","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","3.43","3.73"
"1620706911-2427","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2018","2.07","2.58"
"1620706911-2396","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","13.15","15.81"
"1620706911-2414","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2019","7.40","6.70"
"1620706911-2438","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2017","3.97","3.30"
"1620706911-2480","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2013","4.11","4.22"
"1620706911-2409","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2019","5.14","4.84"
"1620706911-2500","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2012","4.18","3.42"
"1620706911-2422","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2018","5.00","5.41"
"1620706911-2413","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2019","6.73","6.05"
"1620706911-2493","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2012","1.84","1.30"
"1620706911-2415","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2019","7.25","7.39"
"1620706911-2391","https://finance.yahoo.com/quote/PACB/history?period1=1288224000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2021","34.47","29.85"
