web-scraper-order,web-scraper-start-url,Date,Open,Close
1620643549-2961,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2020",3.26,8.45
1620643549-2980,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2019",3.37,5.27
1620643549-2979,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2019",5.36,3.24
1620643549-3004,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2017",3.7,3.89
1620643549-3008,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2017",3.61,3.15
1620643549-2957,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2021",49.04,53.27
1620643549-2993,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2018",9.93,6.62
1620643549-2983,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2019",1.51,1.85
1620643549-2962,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2020",2.71,3.27
1620643549-2999,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2017",5.39,6.8
1620643549-2997,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2017",6.98,13.5
1620643549-2987,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2018",6.54,3.65
1620643549-2994,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2018",12.91,10.58
1620643549-3003,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2017",3.84,4.08
1620643549-2991,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2018",7.14,6.98
1620643549-2966,https://finance.yahoo.com/quote/RIOT/history?period1=1459468800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2020",2.14,2.22
