web-scraper-order,web-scraper-start-url,Date,Open,Close
1620644924-3919,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2013",73.25,67.18
1620644924-4003,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2007",43.51,46.8
1620644924-4102,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 1999",25.85,23.28
1620644924-3848,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2018",76.7,70.7
1620644924-3939,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2011",55.63,51.76
1620644924-4041,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2004",35.27,34.38
1620644924-3929,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2012",57.23,56.91
1620644924-3950,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2011",57.03,58.78
1620644924-4005,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2006",45.21,41.66
1620644924-3937,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2012",65.13,69.43
1620644924-3949,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2011",59.32,58.75
1620644924-3968,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2009",31.92,32.95
1620644924-3926,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2012",68.46,72.93
1620644924-4028,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2005",32.2,32.35
1620644924-3857,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2018",88.15,92.47
1620644924-3996,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2007",47.67,45.83
1620644924-3898,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2015",103.65,113
1620644924-3828,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2020",52.6,56.82
1620644924-4051,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2003",29.87,29.37
1620644924-3843,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2019",75.9,62.02
1620644924-4045,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2003",32.42,34.01
1620644924-3854,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2018",85.81,77.63
1620644924-3994,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2007",44.89,45.23
1620644924-4110,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 1998",24.52,20.86
1620644924-4103,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1999",23.04,25.34
1620644924-4031,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2004",33.14,31.78
1620644924-4100,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 1999",26.23,27
1620644924-4101,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 1999",23.44,25.71
1620644924-4034,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2004",36.9,33.89
1620644924-4128,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 1997",22.23,26.35
1620644924-4047,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2003",34.25,35.7
1620644924-3961,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2010",35.11,37.13
1620644924-3873,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2017",88.34,84.17
1620644924-4073,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2001",40.53,35.15
1620644924-3850,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2018",77.94,76.23
1620644924-3841,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2019",61.7,65.09
1620644924-3821,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2021",72.23,70.01
1620644924-3869,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2017",87.65,83.29
1620644924-4061,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2002",41.4,38.5
1620644924-3956,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2010",41.46,41.67
1620644924-3900,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2014",91.1,89.77
1620644924-3862,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2017",88.12,84.68
1620644924-3845,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2019",74.9,68.75
1620644924-3893,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2015",101,98.18
1620644924-4057,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2002",36,34
1620644924-3826,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2020",54.7,60.15
1620644924-3983,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2008",30.55,28.91
1620644924-3915,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2013",79.97,83.54
1620644924-3973,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2009",26.25,25.4
1620644924-4070,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2001",33.55,35.49
1620644924-3837,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2019",64.9,68.71
1620644924-4059,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2002",38.25,31.5
1620644924-4022,https://finance.yahoo.com/quote/BMW.DE/history?period1=847497600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2005",37.83,38.76
