web-scraper-order,web-scraper-start-url,Date,Open,Close
"1620643872-3034","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 15, 2021","348.90","322.75"
"1620643872-3024","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 29, 2021","298.45","294.77"
"1620643872-3023","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 30, 2021","293.00","297.64"
"1620643872-3025","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 28, 2021","301.01","298.05"
"1620643872-3027","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 26, 2021","304.29","304.54"
"1620643872-3031","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 20, 2021","333.43","320.82"
"1620643872-3018","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 07, 2021","261.15","263.70"
"1620643872-3029","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 22, 2021","305.76","293.45"
"1620643872-3021","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 04, 2021","292.06","280.66"
"1620643872-3030","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 21, 2021","312.52","311.92"
"1620643872-3020","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 05, 2021","284.95","273.00"
"1620643872-3033","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 16, 2021","327.50","342.00"
"1620643872-3019","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 06, 2021","271.15","256.76"
"1620643872-3032","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 19, 2021","337.26","333.00"
"1620643872-3026","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 27, 2021","306.70","302.00"
"1620643872-3028","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 23, 2021","282.75","291.60"
"1620643872-3022","https://finance.yahoo.com/quote/COIN/history?period1=1618444800&period2=1620604800&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 03, 2021","304.00","294.21"
