web-scraper-order,web-scraper-start-url,Date,Open,Close
1620639760-752,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 07, 2021",100,101.06
1620639760-808,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2016",27.2,29.66
1620639760-792,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2018",41.02,40.54
1620639760-778,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2019",59.78,67.41
1620639760-795,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2017",42.97,45.01
1620639760-762,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2020",59.91,66.08
1620639760-759,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2020",61.19,69.03
1620639760-783,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2018",58.88,48.87
1620639760-774,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2019",57.94,51.53
1620639760-753,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2021",99.2,101.06
1620639760-780,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2019",48.98,55.82
1620639760-791,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2018",40.59,39.74
1620639760-763,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2020",55.06,59.83
1620639760-784,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2018",50.33,58.41
1620639760-758,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2020",69.85,73.29
1620639760-796,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2017",46.14,43.32
1620639760-797,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2017",42.77,45.83
1620639760-807,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2016",29.65,30.44
1620639760-776,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2019",59.4,50.8
1620639760-771,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2019",53.18,48.49
1620639760-755,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2021",81.08,88.15
1620639760-754,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2021",88.28,98.33
1620639760-810,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2016",26.33,26.47
1620639760-786,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2018",53.19,53.78
1620639760-798,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2017",41.52,42.75
1620639760-756,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2021",73.65,81.07
1620639760-785,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2018",53.81,50.05
1620639760-761,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2020",66.42,67.69
1620639760-775,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2019",52.21,57.74
1620639760-793,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2018",39.44,41.14
1620639760-789,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2018",45.69,46.83
1620639760-766,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2020",37.75,42.69
1620639760-769,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2020",52.06,48.77
1620639760-802,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2017",37.34,38.42
1620639760-799,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2017",35.74,41.49
1620639760-788,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2018",52.43,51.23
1620639760-806,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2017",30.5,34.88
1620639760-779,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2019",57.68,58.69
1620639760-804,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2017",35.16,35.48
1620639760-794,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2018",45.14,39.7
1620639760-773,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2019",51.03,51.86
1620639760-801,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2017",38.48,33.84
1620639760-768,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2020",48.79,40.46
1620639760-809,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2016",26.37,27.18
1620639760-800,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2017",33.85,35.59
1620639760-777,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2019",67.9,59.55
1620639760-805,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2017",34.78,35.16
1620639760-781,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2019",48.23,48.59
1620639760-787,https://finance.yahoo.com/quote/DELL/history?period1=1471478400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2018",51.23,53.25
