web-scraper-order,web-scraper-start-url,Date,Open,Close
1620710729-3474,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2011",3.99,4.2
1620710729-3463,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2012",3.33,3.1
1620710729-3433,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2014",10.72,11.98
1620710729-3389,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2018",11,9.43
1620710729-3381,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2018",8.55,8.03
1620710729-3458,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2012",2.36,2.5
1620710729-3407,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2016",8.59,9.5
1620710729-3502,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2008",5.85,3.67
1620710729-3459,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2012",3.1,2.48
1620710729-3445,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2013",3.43,3.33
1620710729-3384,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2018",8.67,9.01
1620710729-3398,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2017",10.46,10.45
1620710729-3427,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2015",10.44,9.81
1620710729-3379,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2018",7.92,6.93
1620710729-3435,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2014",8.01,8.76
1620710729-3491,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2009",3.78,3.71
1620710729-3462,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2012",3.21,3.37
1620710729-3421,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2015",9.13,8.84
1620710729-3470,https://finance.yahoo.com/quote/SEKEY/history?period1=1201737600&period2=1620691200&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2011",4.13,4.34
