web-scraper-order,web-scraper-start-url,Date,Open,Close
"1620616790-100","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2013","27.05","25.58"
"1620616790-109","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2012","28.89","31.10"
"1620616790-28","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2019","162.60","166.69"
"1620616790-33","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2018","163.03","151.79"
"1620616790-87","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2014","60.46","59.78"
"1620616790-70","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2015","86.85","89.90"
"1620616790-61","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2016","118.50","114.28"
"1620616790-85","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2014","63.23","67.29"
"1620616790-13","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","224.59","227.07"
"1620616790-4","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2021","260.82","294.53"
"1620616790-92","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2013","50.85","47.01"
"1620616790-90","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2014","54.83","62.57"
"1620616790-84","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2014","67.58","72.65"
"1620616790-47","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2017","169.82","171.97"
"1620616790-18","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","206.75","201.91"
"1620616790-101","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2013","31.01","27.25"
"1620616790-6","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","274.78","258.33"
"1620616790-16","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2020","194.03","166.80"
"1620616790-93","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2013","49.97","50.21"
"1620616790-71","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2015","93.53","89.43"
"1620616790-78","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2015","78.58","75.91"
"1620616790-26","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2019","194.78","177.47"
"1620616790-63","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2016","113.75","117.58"
"1620616790-36","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2018","193.37","172.58"
"1620616790-7","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","279.16","273.16"
"1620616790-81","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2014","78.78","74.99"
"1620616790-80","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2014","75.47","77.70"
"1620616790-55","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2016","118.38","115.05"
