web-scraper-order,web-scraper-start-url,Date,Open,Close
1620706497-2250,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 1990",5.68,5.06
1620706497-1998,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2006",8.53,7.97
1620706497-1794,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2020",7.11,4.83
1620706497-2069,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2001",19.93,17.35
1620706497-1874,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2015",16.34,16.14
1620706497-2038,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2003",11.08,11.56
1620706497-2344,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 1985",2.78,2.97
1620706497-1788,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2020",6.77,6.66
1620706497-1791,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2020",5.73,6.08
1620706497-1817,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2018",9.43,9.55
1620706497-1904,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2013",13.64,15.68
1620706497-2041,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2003",10.65,10.99
1620706497-1780,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2021",11.56,11.71
1620706497-1940,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2010",12.24,14.13
1620706497-2142,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 1997",13.73,13.87
1620706497-1898,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2013",16.42,16.87
1620706497-2153,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 1996",11.4,11.4
1620706497-2171,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 1995",10.54,11.22
1620706497-2312,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 1986",5.31,5.13
1620706497-2065,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2001",18.45,15.72
1620706497-1786,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2020",7.83,9.08
1620706497-1893,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2014",15.42,14.96
1620706497-2085,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2000",24.44,25.5
1620706497-1944,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2010",11.5,10.08
1620706497-2244,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 1991",5.2,5.95
1620706497-1983,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2007",7.77,7.89
1620706497-2077,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2001",27.81,28.12
1620706497-1833,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2017",12,12.27
1620706497-1821,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2018",11.02,10.04
1620706497-1943,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2010",10.23,12.77
1620706497-2278,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 1989",9.17,9.97
1620706497-1941,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2010",11.53,12.24
1620706497-1961,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2009",2.3,1.87
1620706497-1902,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2013",15.93,15.47
1620706497-1883,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2014",17.05,17.41
1620706497-1984,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2007",8.17,7.91
1620706497-2107,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 1999",31.6,26.65
1620706497-1949,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2010",10.17,10.84
1620706497-1988,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2006",8.1,8.28
1620706497-2054,https://finance.yahoo.com/quote/F/history?period1=76291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2002",13.37,11.77
