web-scraper-order,web-scraper-start-url,Date,Open,Close
1620640909-1410,https://finance.yahoo.com/quote/GOOG/history?period1=1092960000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2015",530.27,556.87
1620640909-1464,https://finance.yahoo.com/quote/GOOG/history?period1=1092960000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2010",226.64,261.91
1620640909-1420,https://finance.yahoo.com/quote/GOOG/history?period1=1092960000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2014",557.18,525.22
1620640909-1490,https://finance.yahoo.com/quote/GOOG/history?period1=1092960000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2008",258.82,235.99
1620640909-1341,https://finance.yahoo.com/quote/GOOG/history?period1=1092960000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2020","1,484.27","1,621.01"
1620640909-1422,https://finance.yahoo.com/quote/GOOG/history?period1=1092960000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2014",601.12,555.45
1620640909-1440,https://finance.yahoo.com/quote/GOOG/history?period1=1092960000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2012",341,375.84
1620640909-1506,https://finance.yahoo.com/quote/GOOG/history?period1=1092960000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2007",220.51,228.22
1620640909-1375,https://finance.yahoo.com/quote/GOOG/history?period1=1092960000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2017","1,015.80","1,046.40"
1620640909-1476,https://finance.yahoo.com/quote/GOOG/history?period1=1092960000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2009",228.98,247
1620640909-1447,https://finance.yahoo.com/quote/GOOG/history?period1=1092960000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2012",291.38,307.97
1620640909-1458,https://finance.yahoo.com/quote/GOOG/history?period1=1092960000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2011",307.74,292.28
1620640909-1377,https://finance.yahoo.com/quote/GOOG/history?period1=1092960000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2017",959.98,"1,016.64"
