web-scraper-order,web-scraper-start-url,Date,Open,Close
1620640598-1331,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2011",4.7344,4.2031
1620640598-1242,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2017",9.15,9.03
1620640598-1204,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2020",2.7,2.88
1620640598-1329,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2011",4.3906,4.6844
1620640598-1212,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2020",2.69,2.74
1620640598-1237,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2018",8.27,7.39
1620640598-1236,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2018",7.34,7.49
1620640598-1198,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2021",2.92,3.04
1620640598-1302,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2013",2.4225,2.2025
1620640598-1199,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2021",2.78,2.92
1620640598-1217,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2019",3.06,3.2
1620640598-1273,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2015",9.825,9.825
1620640598-1309,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2012",2.845,2.6375
1620640598-1298,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2013",2.175,2.9375
1620640598-1330,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2011",4.2109,4.3984
1620640598-1203,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2020",2.86,2.96
1620640598-1332,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2010",5.1687,4.7344
1620640598-1245,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2017",9.72,9.39
1620640598-1262,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2016",12.3,13.705
1620640598-1320,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2011",3.7016,3.6359
1620640598-1266,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2015",12.75,12.75
1620640598-1257,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2016",12.5,14.365
1620640598-1294,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2013",4.48,3.475
1620640598-1247,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2017",10.19,9.72
1620640598-1291,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2014",3.665,6.25
1620640598-1233,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2018",6.48,5.82
1620640598-1240,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2017",8.68,8.63
1620640598-1205,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2020",3.03,2.7
1620640598-1276,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2015",7.065,7.645
1620640598-1295,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2013",3.045,4.48
1620640598-1324,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2011",3.6688,3.6203
1620640598-1314,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2012",2.8969,2.8484
1620640598-1274,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2015",9.825,9.825
1620640598-1241,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2017",9.03,8.63
1620640598-1289,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2014",7.72,5.29
1620640598-1287,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2014",6,6.415
1620640598-1207,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2020",2.74,2.84
1620640598-1210,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2020",3.19,2.61
1620640598-1326,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2011",3.6953,3.6578
1620640598-1284,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2014",6.415,6.415
1620640598-1197,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2021",3.04,3.09
1620640598-1216,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2019",3.2,2.6
1620640598-1261,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2016",13.73,11.755
1620640598-1221,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2019",4.02,3.58
1620640598-1268,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2015",12.75,12.75
1620640598-1224,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2019",3.38,4.32
1620640598-1227,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2018",5.82,4.1
1620640598-1244,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2017",9.4,8.25
1620640598-1321,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2011",3.1578,3.7016
1620640598-1252,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2016",13.8,12.92
1620640598-1279,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2014",7.585,7.845
1620640598-1211,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2020",2.79,3.26
1620640598-1250,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2017",11.59,11.74
1620640598-1265,https://finance.yahoo.com/quote/002502.SZ/history?period1=1290038400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2015",12.75,12.75
