web-scraper-order,web-scraper-start-url,Date,Open,Close
1620707513-2714,https://finance.yahoo.com/quote/ILMN/history?period1=964828800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2012",48.06,53.71
1620707513-2717,https://finance.yahoo.com/quote/ILMN/history?period1=964828800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2012",41.53,42.08
1620707513-2626,https://finance.yahoo.com/quote/ILMN/history?period1=964828800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2020",268.02,273.12
1620707513-2807,https://finance.yahoo.com/quote/ILMN/history?period1=964828800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2005",4.22,4.04
1620707513-2763,https://finance.yahoo.com/quote/ILMN/history?period1=964828800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2008",40.5,30.83
1620707513-2786,https://finance.yahoo.com/quote/ILMN/history?period1=964828800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2006",19.19,19.66
1620707513-2630,https://finance.yahoo.com/quote/ILMN/history?period1=964828800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2019",297.28,320.76
1620707513-2731,https://finance.yahoo.com/quote/ILMN/history?period1=964828800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2011",71.85,75.15
1620707513-2780,https://finance.yahoo.com/quote/ILMN/history?period1=964828800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2007",16.37,20.3
1620707513-2773,https://finance.yahoo.com/quote/ILMN/history?period1=964828800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2008",29.91,31.85
1620707513-2840,https://finance.yahoo.com/quote/ILMN/history?period1=964828800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2002",3.18,3.36
1620707513-2726,https://finance.yahoo.com/quote/ILMN/history?period1=964828800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2011",29.86,27.82
