web-scraper-order,web-scraper-start-url,Date,Open,Close
1620640047-1055,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2010",4.7,4.24
1620640047-1176,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2001",3.65,2.975
1620640047-1042,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2011",4.52,4.58
1620640047-993,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2014",11.6,10.88
1620640047-1078,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2008",5.26,3.35
1620640047-1137,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2004",2.125,2.125
1620640047-1122,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2005",2.625,3.2
1620640047-1002,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2014",8.3,8.57
1620640047-1108,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2006",2.51,3.25
1620640047-931,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2019",7.07,7.27
1620640047-1091,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2007",6.45,8.73
1620640047-1008,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2013",8.11,8.3
1620640047-1027,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2012",6.59,6.54
1620640047-945,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2018",4.01,3.75
1620640047-1165,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2002",2.825,2.875
1620640047-1166,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2002",3.225,2.85
1620640047-1040,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2011",4.45,4.95
1620640047-1064,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2009",3.45,4.41
1620640047-975,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2016",6.97,6.49
1620640047-1169,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2002",3.3,3.375
1620640047-1061,https://finance.yahoo.com/quote/0992.HK/history?period1=953769600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2009",4.34,4.87
