web-scraper-order,web-scraper-start-url,Date,Open,Close
1620642717-2606,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2011",26.19,25.58
1620642717-2947,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 1986",0.1,0.13
1620642717-2528,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2016",57.01,57.6
1620642717-2644,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2009",21,23.77
1620642717-2698,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2006",27.96,26.87
1620642717-2921,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 1988",0.34,0.33
1620642717-2886,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 1991",1.54,1.78
1620642717-2771,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2000",30.25,34.44
1620642717-2584,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2013",27.72,28.61
1620642717-2616,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2011",26.6,25.39
1620642717-2678,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2007",29.94,30.69
1620642717-2791,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 1999",37.39,44.81
1620642717-2647,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2009",18.23,20.26
1620642717-2626,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2010",25.99,23.47
1620642717-2564,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2014",40.95,41.7
1620642717-2632,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2010",28.77,29.29
1620642717-2885,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 1991",1.77,1.85
1620642717-2843,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 1995",3.84,3.71
1620642717-2822,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 1996",8.23,8.58
1620642717-2552,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2015",43.67,40.66
1620642717-2842,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 1995",3.71,3.94
1620642717-2670,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2007",36.53,33.6
1620642717-2504,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2018",93.99,91.27
1620642717-2630,https://finance.yahoo.com/quote/MSFT/history?period1=511142400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2010",30.67,25.8
