web-scraper-order,web-scraper-start-url,Date,Open,Close
"1620708302-2964","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2018","61.65","56.55"
"1620708302-2971","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2018","18.40","25.90"
"1620708302-2931","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2021","166.05","147.63"
"1620708302-2979","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2017","4.55","2.80"
"1620708302-2944","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2020","74.92","85.04"
"1620708302-2967","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2018","30.70","42.50"
"1620708302-3018","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2014","20.79","24.33"
"1620708302-3005","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2015","23.80","29.32"
"1620708302-2973","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2017","13.10","17.15"
"1620708302-3000","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2015","28.78","25.82"
"1620708302-2942","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","99.55","114.17"
"1620708302-2977","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2017","3.65","5.00"
"1620708302-2939","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","149.64","166.05"
"1620708302-3001","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2015","31.89","28.61"
"1620708302-2980","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2017","5.25","4.55"
"1620708302-3011","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2014","20.71","17.51"
"1620708302-3003","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2015","27.87","36.66"
"1620708302-2957","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2019","72.01","73.30"
"1620708302-3019","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2014","16.88","20.82"
"1620708302-3009","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2014","16.66","14.82"
"1620708302-2974","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2017","11.85","13.05"
"1620708302-3017","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2014","24.00","19.07"
"1620708302-2988","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2016","4.65","5.05"
"1620708302-2950","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2019","78.16","94.18"
"1620708302-2990","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2016","17.98","5.46"
"1620708302-2941","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","113.94","121.31"
"1620708302-2954","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2019","84.50","103.00"
"1620708302-3014","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2014","21.25","20.00"
"1620708302-2948","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2019","100.71","128.86"
"1620708302-2945","https://finance.yahoo.com/quote/MRTX/history?period1=1373932800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2020","90.75","76.87"
