web-scraper-order,web-scraper-start-url,Date,Open,Close
"1620707293-2590","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2015","10.21","11.94"
"1620707293-2579","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2016","12.00","15.22"
"1620707293-2523","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","37.10","49.64"
"1620707293-2527","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","29.22","36.11"
"1620707293-2524","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","44.11","36.65"
"1620707293-2585","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2015","14.84","16.00"
"1620707293-2591","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2015","10.55","10.19"
"1620707293-2601","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2014","16.33","14.89"
"1620707293-2586","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2015","15.26","15.21"
"1620707293-2517","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2021","79.78","58.27"
"1620707293-2593","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2015","13.99","12.56"
"1620707293-2521","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","66.81","70.03"
"1620707293-2611","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2013","8.24","9.11"
"1620707293-2548","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2018","17.83","15.41"
"1620707293-2535","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2019","22.78","26.92"
"1620707293-2570","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2016","22.02","22.30"
"1620707293-2543","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2019","25.85","23.93"
"1620707293-2568","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2017","18.15","18.87"
"1620707293-2572","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2016","19.95","19.45"
"1620707293-2549","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2018","16.17","17.83"
"1620707293-2545","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2019","14.83","22.24"
"1620707293-2520","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2021","71.18","69.79"
"1620707293-2553","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2018","9.46","12.89"
"1620707293-2578","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2016","15.04","15.92"
"1620707293-2584","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2015","15.91","14.51"
"1620707293-2533","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","28.17","27.17"
"1620707293-2576","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2016","13.51","12.60"
"1620707293-2607","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2013","10.20","11.81"
"1620707293-2557","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2018","7.53","7.52"
"1620707293-2571","https://finance.yahoo.com/quote/NSTG/history?period1=1372291200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2016","19.58","22.00"
