web-scraper-order,web-scraper-start-url,Date,Open,Close
1620705872-968,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 1999",5.72,6.2
1620705872-937,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2001",6.07,6.62
1620705872-945,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2001",5.15,5.14
1620705872-1074,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 1993",2.27,1.72
1620705872-652,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2019",77.24,83.95
1620705872-1017,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 1996",7.42,7.11
1620705872-1006,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 1997",7.27,7.83
1620705872-809,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2009",16,15.55
1620705872-1180,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 1986",0.22,0.23
1620705872-865,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2006",10.25,10.04
1620705872-631,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2020",127.73,120.08
1620705872-973,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 1999",6.48,5.84
1620705872-964,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2000",3.55,4.95
1620705872-1181,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 1986",0.3,0.22
1620705872-1014,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 1997",7.47,8.55
1620705872-1185,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 1986",0.26,0.28
1620705872-920,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2002",5.75,5.56
1620705872-1115,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 1990",0.86,1.07
1620705872-663,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2018",85.1,75.04
1620705872-858,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2006",10.87,11.48
1620705872-622,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2021",133.37,136.4
1620705872-894,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2004",9.47,9.09
1620705872-1143,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 1989",0.47,0.53
1620705872-624,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2021",135.64,132.89
1620705872-1139,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 1989",0.59,0.64
1620705872-1086,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 1992",2.26,2.48
1620705872-1000,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 1997",6.12,4.88
1620705872-889,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2004",10.13,10.58
1620705872-629,https://finance.yahoo.com/quote/NKE/history?period1=344649600&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2020",136.44,141.47
