web-scraper-order,web-scraper-start-url,Date,Open,Close
"1620707816-2892","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2018","34.91","33.48"
"1620707816-2930","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2015","22.00","22.47"
"1620707816-2905","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2017","21.75","19.25"
"1620707816-2921","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2016","11.67","7.52"
"1620707816-2925","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2016","11.70","14.48"
"1620707816-2898","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2018","31.40","31.30"
"1620707816-2879","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","83.52","81.46"
"1620707816-2927","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2016","22.00","12.48"
"1620707816-2902","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2018","22.25","20.55"
"1620707816-2909","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2017","17.35","20.60"
"1620707816-2896","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2018","33.85","45.05"
"1620707816-2893","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2018","33.24","34.32"
"1620707816-2918","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2016","8.51","6.05"
"1620707816-2907","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2017","20.65","19.85"
"1620707816-2895","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2018","45.00","52.40"
"1620707816-2863","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2021","203.35","182.01"
"1620707816-2904","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2017","19.80","20.20"
"1620707816-2897","https://finance.yahoo.com/quote/NVCR/history?period1=1443744000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2018","31.00","34.00"
