web-scraper-order,web-scraper-start-url,Date,Open,Close
"1620639177-635","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 07, 2021","60.10","59.86"
"1620639177-646","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","22.53","34.29"
"1620639177-648","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2020","19.97","20.29"
"1620639177-658","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2019","27.60","28.99"
"1620639177-638","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2021","82.57","74.03"
"1620639177-656","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2019","33.93","26.45"
"1620639177-641","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","70.91","65.90"
"1620639177-647","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","20.15","22.17"
"1620639177-645","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2020","34.60","36.79"
"1620639177-660","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2019","31.50","24.92"
"1620639177-657","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2019","28.99","34.42"
"1620639177-650","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2020","19.90","15.44"
"1620639177-644","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","36.87","41.51"
"1620639177-643","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","42.29","58.95"
"1620639177-652","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","18.80","22.03"
"1620639177-642","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","59.00","70.02"
"1620639177-639","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2021","69.61","80.58"
"1620639177-637","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2021","75.77","66.37"
"1620639177-640","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","66.00","68.51"
"1620639177-653","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2019","19.50","18.64"
"1620639177-655","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2019","26.56","25.14"
"1620639177-636","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2021","66.71","59.86"
"1620639177-649","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2020","14.60","20.66"
"1620639177-654","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2019","19.63","19.48"
"1620639177-659","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2019","24.98","27.22"
"1620639177-651","https://finance.yahoo.com/quote/PINS/history?period1=1555632000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2020","22.06","19.50"
