web-scraper-order,web-scraper-start-url,Date,Open,Close
"1620708680-3242","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2017","21.00","17.10"
"1620708680-3196","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2021","41.90","34.11"
"1620708680-3245","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2017","18.65","18.40"
"1620708680-3219","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2019","58.36","50.40"
"1620708680-3201","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","27.40","28.76"
"1620708680-3240","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2017","19.95","18.00"
"1620708680-3199","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","34.98","45.36"
"1620708680-3204","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","37.16","33.10"
"1620708680-3207","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2020","30.74","39.82"
"1620708680-3214","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2019","34.15","35.60"
"1620708680-3205","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","37.60","36.83"
"1620708680-3194","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2021","34.79","36.00"
"1620708680-3253","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2016","12.26","8.00"
"1620708680-3224","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2018","67.20","59.91"
"1620708680-3225","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2018","76.01","66.67"
"1620708680-3252","https://finance.yahoo.com/quote/RGNX/history?period1=1442534400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2016","8.00","8.17"
