web-scraper-order,web-scraper-start-url,Date,Open,Close
1620641278-1760,https://finance.yahoo.com/quote/8061.T/history?period1=978307200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2004",915,945
1620641278-1539,https://finance.yahoo.com/quote/8061.T/history?period1=978307200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2021","1,562.00","1,659.00"
1620641278-1703,https://finance.yahoo.com/quote/8061.T/history?period1=978307200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2008",950,"1,070.00"
1620641278-1635,https://finance.yahoo.com/quote/8061.T/history?period1=978307200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2014","1,245.00","1,190.00"
1620641278-1704,https://finance.yahoo.com/quote/8061.T/history?period1=978307200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2008",870,950
1620641278-1560,https://finance.yahoo.com/quote/8061.T/history?period1=978307200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2019","1,337.00","1,381.00"
1620641278-1759,https://finance.yahoo.com/quote/8061.T/history?period1=978307200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2004",945,910
1620641278-1701,https://finance.yahoo.com/quote/8061.T/history?period1=978307200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2009","1,065.00","1,085.00"
1620641278-1588,https://finance.yahoo.com/quote/8061.T/history?period1=978307200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2017","3,045.00","3,005.00"
1620641278-1661,https://finance.yahoo.com/quote/8061.T/history?period1=978307200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2012","1,250.00","1,160.00"
1620641278-1718,https://finance.yahoo.com/quote/8061.T/history?period1=978307200&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2007","1,525.00","1,550.00"
