web-scraper-order,web-scraper-start-url,Date,Open,Close
1620641796-1810,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2021",814.29,675.5
1620641796-1811,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2021",719.46,793.53
1620641796-1839,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2018",61.15,67.46
1620641796-1824,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2020",84.9,130.11
1620641796-1860,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2017",42.97,50.39
1620641796-1871,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2016",37.75,38.39
1620641796-1888,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2014",55.1,48.54
1620641796-1832,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2019",47.77,37.03
1620641796-1819,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2020",171.6,215.96
1620641796-1922,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2011",5.68,6.55
1620641796-1853,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2017",64.6,71.18
1620641796-1848,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2018",62.4,70.86
1620641796-1830,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2019",46.04,48.32
1620641796-1920,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2012",5.79,5.81
1620641796-1829,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2019",48.53,45.12
1620641796-1874,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2015",41.78,46.05
1620641796-1881,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2015",37.74,45.21
1620641796-1855,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2017",68.8,72.32
1620641796-1926,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2011",5.81,5.63
1620641796-1856,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2017",62.98,68.2
1620641796-1921,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2011",6.51,5.71
1620641796-1883,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2015",40.79,40.67
1620641796-1908,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2013",7,7.5
1620641796-1836,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2019",61.22,61.4
1620641796-1916,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2012",6.63,5.9
1620641796-1842,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2018",72.01,59.63
1620641796-1890,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2014",48.49,44.66
1620641796-1902,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2013",21.87,26.86
1620641796-1834,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2019",61.39,55.97
1620641796-1807,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2021",703.8,672.37
1620641796-1910,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2012",5.65,6.76
1620641796-1886,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2014",48.6,48.9
1620641796-1846,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2018",69,53.23
1620641796-1849,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2017",61.09,62.27
1620641796-1808,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2021",688.37,709.44
1620641796-1831,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2019",37.1,44.69
1620641796-1927,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2011",6,5.83
1620641796-1864,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2016",41.8,40.81
1620641796-1857,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2017",57.38,62.81
1620641796-1884,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2015",44.57,40.72
1620641796-1852,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2017",71.22,68.22
1620641796-1872,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2016",46.14,38.24
1620641796-1809,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2021",690.11,667.93
1620641796-1812,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2020",597.59,705.67
1620641796-1847,https://finance.yahoo.com/quote/TSLA/history?period1=1277856000&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2018",70.2,68.61
