web-scraper-order,web-scraper-start-url,Date,Open,Close
"1620639851-861","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2017","14.97","16.48"
"1620639851-863","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2017","17.84","15.77"
"1620639851-837","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2019","33.16","39.91"
"1620639851-852","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2018","24.07","25.81"
"1620639851-868","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2016","19.37","23.05"
"1620639851-885","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2015","51.00","38.96"
"1620639851-815","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2021","51.20","77.06"
"1620639851-898","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2014","53.89","46.67"
"1620639851-826","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2020","36.00","24.56"
"1620639851-887","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2015","37.70","48.08"
"1620639851-811","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 07, 2021","54.77","53.79"
"1620639851-862","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2017","15.87","14.95"
"1620639851-880","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2015","27.23","26.94"
"1620639851-822","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","30.15","36.40"
"1620639851-891","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2014","51.08","41.47"
"1620639851-831","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2019","41.32","29.97"
"1620639851-842","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2018","34.60","31.45"
"1620639851-853","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2017","20.52","24.01"
"1620639851-848","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2018","30.21","34.70"
"1620639851-859","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2017","18.22","17.87"
"1620639851-874","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2016","18.47","16.55"
"1620639851-892","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2014","50.02","51.58"
"1620639851-820","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","40.61","44.50"
"1620639851-845","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2018","32.25","35.18"
"1620639851-839","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2019","33.56","30.78"
"1620639851-890","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2014","40.55","41.74"
"1620639851-869","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2016","16.65","19.21"
"1620639851-824","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2020","28.00","30.97"
"1620639851-876","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2016","22.64","16.80"
"1620639851-846","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2018","43.06","31.87"
"1620639851-870","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2016","16.93","16.64"
"1620639851-819","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","45.07","41.36"
"1620639851-865","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2016","18.82","16.30"
"1620639851-879","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2015","26.47","28.46"
"1620639851-832","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2019","42.38","41.20"
"1620639851-873","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2016","16.41","14.62"
"1620639851-897","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2014","46.71","38.97"
"1620639851-875","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2016","17.89","18.12"
"1620639851-828","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","32.31","32.48"
"1620639851-894","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2014","42.06","45.19"
"1620639851-847","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2018","35.14","43.67"
"1620639851-840","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2019","28.26","33.56"
"1620639851-893","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2014","45.01","49.75"
"1620639851-818","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","41.15","46.51"
"1620639851-836","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2019","40.00","36.44"
"1620639851-858","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2017","17.94","16.09"
"1620639851-851","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2018","25.52","31.86"
"1620639851-844","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2018","34.75","28.46"
"1620639851-864","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2017","16.31","17.62"
"1620639851-827","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2020","32.56","33.20"
"1620639851-857","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2017","16.20","16.91"
"1620639851-816","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","54.49","50.53"
"1620639851-843","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2018","28.51","34.75"
"1620639851-901","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2013","41.79","63.65"
"1620639851-817","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","46.76","54.15"
"1620639851-900","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2014","65.00","64.50"
"1620639851-855","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2017","16.80","20.62"
"1620639851-838","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2019","31.17","32.88"
"1620639851-877","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2015","25.39","23.14"
"1620639851-871","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2016","15.22","16.91"
"1620639851-850","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2018","31.95","29.01"
"1620639851-866","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2016","17.84","18.49"
"1620639851-882","https://finance.yahoo.com/quote/TWTR/history?period1=1383782400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2015","36.05","31.01"
