web-scraper-order,web-scraper-start-url,Date,Open,Close
"1620645220-4138","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","50.00","51.00"
"1620645220-4146","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2020","26.50","30.27"
"1620645220-4145","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2020","29.13","36.32"
"1620645220-4132","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 07, 2021","47.22","47.03"
"1620645220-4156","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2019","40.74","46.38"
"1620645220-4140","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","36.86","33.41"
"1620645220-4148","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2020","36.75","33.87"
"1620645220-4152","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2019","30.37","31.50"
"1620645220-4141","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","33.45","36.48"
"1620645220-4147","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2020","34.05","27.92"
"1620645220-4154","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2019","42.14","32.57"
"1620645220-4155","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2019","46.98","42.14"
"1620645220-4133","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2021","55.12","47.03"
"1620645220-4137","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","52.22","50.93"
"1620645220-4135","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2021","53.67","54.51"
"1620645220-4142","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2020","30.24","33.63"
"1620645220-4153","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2019","32.10","30.47"
"1620645220-4139","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","34.15","49.66"
"1620645220-4136","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2021","52.12","51.75"
"1620645220-4143","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","30.96","30.26"
"1620645220-4149","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","29.94","36.29"
"1620645220-4151","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2019","31.45","29.60"
"1620645220-4144","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","35.64","31.08"
"1620645220-4134","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2021","55.61","54.77"
"1620645220-4150","https://finance.yahoo.com/quote/UBER/history?period1=1557532800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2019","29.32","29.74"
