web-scraper-order,web-scraper-start-url,Date,Open,Close
"1620708839-3266","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","36.24","35.41"
"1620708839-3336","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2015","23.22","24.32"
"1620708839-3318","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2016","7.80","7.65"
"1620708839-3330","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2015","25.88","20.45"
"1620708839-3314","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2017","5.64","5.52"
"1620708839-3291","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2018","30.12","28.82"
"1620708839-3271","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2020","41.81","40.77"
"1620708839-3294","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2018","42.15","36.39"
"1620708839-3279","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2019","55.68","71.66"
"1620708839-3312","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2017","6.48","5.78"
"1620708839-3311","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2017","5.76","5.36"
"1620708839-3285","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2019","60.85","78.15"
"1620708839-3278","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","72.28","57.56"
"1620708839-3326","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2016","16.34","18.23"
"1620708839-3348","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2014","16.62","15.58"
"1620708839-3333","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2015","28.80","27.00"
"1620708839-3304","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2017","14.90","15.14"
"1620708839-3299","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2018","23.49","29.20"
"1620708839-3306","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2017","8.00","9.60"
"1620708839-3335","https://finance.yahoo.com/quote/QURE/history?period1=1391644800&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2015","24.32","25.05"
