web-scraper-order,web-scraper-start-url,Date,Open,Close
"1620616937-140","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2018","1,769.46","1,501.97"
"1620616937-137","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2019","1,655.13","1,780.75"
"1620616937-110","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 07, 2021","3,319.09","3,291.61"
"1620616937-204","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2013","303.08","280.98"
"1620616937-221","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2012","179.89","202.51"
"1620616937-132","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2019","1,871.72","1,776.29"
"1620616937-200","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2013","399.00","398.79"
"1620616937-122","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","2,448.00","2,758.82"
"1620616937-216","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2012","234.14","248.27"
"1620616937-143","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2018","2,026.50","2,003.00"
"1620616937-226","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2011","217.01","213.51"
"1620616937-198","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2014","358.98","362.10"
"1620616937-154","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2017","964.00","1,105.28"
"1620616937-164","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2016","752.41","749.87"
"1620616937-185","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2015","380.85","372.10"
"1620616937-182","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2015","430.40","434.09"
"1620616937-184","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2015","372.10","421.78"
"1620616937-165","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2016","799.00","750.57"
"1620616937-121","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","2,757.99","3,164.68"
"1620616937-201","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2013","365.63","393.62"
"1620616937-123","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2020","2,336.80","2,442.37"
"1620616937-134","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2019","1,760.01","1,893.63"
"1620616937-208","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2013","266.98","253.81"
"1620616937-149","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2018","1,513.60","1,447.34"
"1620616937-166","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2016","836.00","789.82"
"1620616937-199","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2014","398.80","358.69"
"1620616937-147","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2018","1,563.22","1,629.62"
"1620616937-173","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2016","556.29","593.64"
"1620616937-114","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2021","3,242.36","3,092.93"
"1620616937-228","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2011","225.00","215.23"
"1620616937-144","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2018","1,784.00","2,012.71"
"1620616937-181","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2015","439.35","536.15"
"1620616937-127","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","1,875.00","2,008.72"
"1620616937-230","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2011","196.06","204.49"
"1620616937-191","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2014","339.98","322.44"
"1620616937-207","https://finance.yahoo.com/quote/AMZN/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2013","253.90","269.20"
