web-scraper-order,web-scraper-start-url,Date,Open,Close
1620617212-568,https://finance.yahoo.com/quote/GOOG/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2016",774.25,784.54
1620617212-559,https://finance.yahoo.com/quote/GOOG/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2017",912.18,930.5
1620617212-549,https://finance.yahoo.com/quote/GOOG/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2018","1,013.66","1,084.99"
1620617212-523,https://finance.yahoo.com/quote/GOOG/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2020","1,411.10","1,482.96"
1620617212-541,https://finance.yahoo.com/quote/GOOG/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2019","1,016.57","1,116.37"
1620617212-530,https://finance.yahoo.com/quote/GOOG/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2019","1,301.00","1,337.02"
1620617212-561,https://finance.yahoo.com/quote/GOOG/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2017",901.94,964.86
1620617212-575,https://finance.yahoo.com/quote/GOOG/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2016",703.62,744.95
1620617212-598,https://finance.yahoo.com/quote/GOOG/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2014",525.67,558.36
1620617212-628,https://finance.yahoo.com/quote/GOOG/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2011",298.88,321.74
1620617212-548,https://finance.yahoo.com/quote/GOOG/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2018","1,099.35","1,115.65"
