web-scraper-order,web-scraper-start-url,Date,Open,Close
1620617133-489,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2013",27.28,30.87
1620617133-420,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2018",293.19,267.66
1620617133-424,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2018",335.87,367.68
1620617133-451,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2016",90.41,102.57
1620617133-503,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2012",17.34,15.82
1620617133-445,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2016",124.98,117
1620617133-413,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2019",373.5,322.99
1620617133-509,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2011",38.36,33.57
1620617133-421,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2018",304.59,286.13
1620617133-465,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2015",59.64,79.5
1620617133-409,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2019",288.7,314.66
1620617133-446,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2016",98,124.87
1620617133-414,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2019",343.56,367.32
1620617133-495,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2012",7.8,11.32
1620617133-436,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2017",182.49,174.71
1620617133-450,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2016",101.5,91.48
1620617133-406,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2020",347.24,369.03
1620617133-483,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2013",44.97,46.07
1620617133-505,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2011",9.2,9.9
1620617133-411,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2019",290.82,267.62
1620617133-439,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2017",151.91,163.07
1620617133-408,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2019",314.39,323.57
1620617133-455,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2016",109,91.84
1620617133-477,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2014",50.25,46.01
1620617133-463,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2015",88.84,93.85
1620617133-431,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2018",196.1,270.3
1620617133-476,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2014",46.29,59.69
1620617133-480,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2014",52.4,58.48
1620617133-469,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2014",49.29,48.8
1620617133-488,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2013",30.85,32.32
1620617133-481,https://finance.yahoo.com/quote/NFLX/history?period1=1304899200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2013",52.13,52.6
