web-scraper-order,web-scraper-start-url,Date,Open,Close*
"1615854501-1063","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 03, 2020","60.70","60.35"
"1615854501-929","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 09, 2020","115.28","116.97"
"1615854501-1017","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 09, 2020","83.04","86.00"
"1615854501-916","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 28, 2020","115.05","111.20"
"1615854501-1123","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 09, 2020","76.81","77.41"
"1615854501-851","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 01, 2021","133.75","134.14"
"1615854501-997","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 08, 2020","94.18","95.34"
"1615854501-862","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 14, 2021","130.80","128.91"
"1615854501-1055","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 16, 2020","71.85","71.67"
"1615854501-840","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 16, 2021","135.49","133.19"
"1615854501-1030","https://finance.yahoo.com/quote/AAPL/history?period1=1577750400&period2=1615680000&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 20, 2020","79.17","79.81"
