web-scraper-order,web-scraper-start-url,Date,Open,Close*
"1615855908-1616","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 17, 2020","235.00","235.53"
"1615855908-1677","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 20, 2020","156.02","149.73"
"1615855908-1598","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 14, 2020","236.76","239.73"
"1615855908-1679","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 18, 2020","139.75","146.96"
"1615855908-1500","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 01, 2020","279.16","286.55"
"1615855908-1708","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 05, 2020","212.51","210.11"
"1615855908-1726","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 09, 2020","217.54","218.30"
"1615855908-1556","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 11, 2020","270.06","266.61"
"1615855908-1540","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 05, 2020","262.20","264.65"
"1615855908-1496","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 07, 2020","279.19","285.58"
"1615855908-1472","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 12, 2021","256.63","251.09"
"1615855908-1438","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 03, 2021","260.29","255.41"
"1615855908-1510","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 16, 2020","275.05","278.96"
"1615855908-1649","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 30, 2020","206.92","204.71"
"1615855908-1601","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 09, 2020","245.00","244.50"
"1615855908-1672","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 27, 2020","158.20","156.79"
"1615855908-1484","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 23, 2020","266.89","268.11"
"1615855908-1492","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 11, 2020","274.53","273.55"
"1615855908-1545","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 28, 2020","259.40","256.82"
"1615855908-1666","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 06, 2020","160.15","165.55"
"1615855908-1591","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 23, 2020","239.63","232.60"
"1615855908-1505","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 23, 2020","270.89","268.43"
"1615855908-1671","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 30, 2020","159.18","165.95"
"1615855908-1537","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 08, 2020","259.75","263.76"
"1615855908-1514","https://finance.yahoo.com/quote/FB/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 10, 2020","273.10","272.43"
