web-scraper-order,web-scraper-start-url,Date,Open,Close*
"1615856422-2302","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 18, 2020","1,515.00","1,519.67"
"1615856422-2130","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 21, 2020","1,573.33","1,593.31"
"1615856422-2057","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 05, 2021","2,070.00","2,098.00"
"1615856422-2151","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 22, 2020","1,450.09","1,465.46"
"1615856422-2223","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 10, 2020","1,459.54","1,465.85"
"1615856422-2183","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 06, 2020","1,471.75","1,500.10"
"1615856422-2076","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 08, 2021","1,787.98","1,807.21"
"1615856422-2096","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 09, 2020","1,812.01","1,784.13"
"1615856422-2328","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 09, 2020","1,420.57","1,419.83"
"1615856422-2251","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 30, 2020","1,324.88","1,348.66"
"1615856422-2285","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 12, 2020","1,126.00","1,114.91"
"1615856422-2039","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 04, 2021","2,023.37","2,049.09"
"1615856422-2037","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 08, 2021","2,101.13","2,024.17"
"1615856422-2142","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 05, 2020","1,466.21","1,486.02"
"1615856422-2048","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 19, 2021","2,119.27","2,101.14"
"1615856422-2189","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 29, 2020","1,506.32","1,522.02"
"1615856422-2060","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 02, 2021","1,922.56","1,927.51"
"1615856422-2033","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 12, 2021","2,085.00","2,061.92"
"1615856422-2147","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 28, 2020","1,474.21","1,464.52"
"1615856422-2193","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 23, 2020","1,566.97","1,515.68"
"1615856422-2110","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 18, 2020","1,765.23","1,746.78"
"1615856422-2093","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 14, 2020","1,775.00","1,760.06"
"1615856422-2248","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 05, 2020","1,337.92","1,351.11"
"1615856422-2218","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 17, 2020","1,447.16","1,451.12"
"1615856422-2316","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 28, 2020","1,443.00","1,452.56"
"1615856422-2067","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 22, 2021","1,895.68","1,901.05"
"1615856422-2042","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 01, 2021","2,056.52","2,081.51"
"1615856422-2319","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 23, 2020","1,487.64","1,486.65"
"1615856422-2317","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 27, 2020","1,431.00","1,433.90"
"1615856422-2124","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 29, 2020","1,522.36","1,567.24"
"1615856422-2172","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 21, 2020","1,577.03","1,580.42"
"1615856422-2149","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 24, 2020","1,411.03","1,428.29"
"1615856422-2315","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 29, 2020","1,458.80","1,458.63"
"1615856422-2084","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 28, 2020","1,751.64","1,776.09"
"1615856422-2191","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 27, 2020","1,515.60","1,530.20"
"1615856422-2092","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 15, 2020","1,764.42","1,767.77"
"1615856422-2245","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 08, 2020","1,383.13","1,388.37"
"1615856422-2074","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 12, 2021","1,753.92","1,746.55"
"1615856422-2267","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 07, 2020","1,221.00","1,186.51"
"1615856422-2283","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 16, 2020","1,096.00","1,084.33"
"1615856422-2211","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 26, 2020","1,431.39","1,359.90"
"1615856422-2113","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 13, 2020","1,757.63","1,777.02"
"1615856422-2176","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 17, 2020","1,514.67","1,517.98"
"1615856422-2083","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 29, 2020","1,787.79","1,758.72"
"1615856422-2200","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 14, 2020","1,490.31","1,520.58"
"1615856422-2035","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 10, 2021","2,071.76","2,055.03"
"1615856422-2322","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 17, 2020","1,462.91","1,480.39"
"1615856422-2203","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 09, 2020","1,506.45","1,510.99"
"1615856422-2177","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 14, 2020","1,515.66","1,507.73"
"1615856422-2279","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 20, 2020","1,135.72","1,072.32"
"1615856422-2148","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 25, 2020","1,432.63","1,444.96"
"1615856422-2314","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 30, 2020","1,439.96","1,455.84"
"1615856422-2286","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 11, 2020","1,249.70","1,215.41"
"1615856422-2064","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 27, 2021","1,882.53","1,830.79"
"1615856422-2099","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 04, 2020","1,824.52","1,827.99"
"1615856422-2313","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 31, 2020","1,468.90","1,434.23"
"1615856422-2221","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 12, 2020","1,428.49","1,413.18"
"1615856422-2233","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 27, 2020","1,417.25","1,417.84"
"1615856422-2240","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 15, 2020","1,350.00","1,373.19"
"1615856422-2171","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 24, 2020","1,593.98","1,588.20"
"1615856422-2195","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 21, 2020","1,586.99","1,558.42"
"1615856422-2170","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 25, 2020","1,582.07","1,608.22"
"1615856422-2111","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 17, 2020","1,776.94","1,770.15"
